Map,Winner,Winner race,Loser,Loser race
Amazonia,DrK,n,Rackanitsu,h
Last Refuge,Deuce,u,Ark,n
Terenas Stand LV,Cement,u,SDmK,u
Northern Isles,Franzyzz,o,Changer,h
Last Refuge,WTii,n,AllTheSmoke,u
Amazonia,Ag3nt,h,GhostDragon,h
Amazonia,Sheik,u,Tomik,o
Last Refuge,XlorD,u,TeRRoR,u
Amazonia,Happy,u,MisterWinner,h
Last Refuge,Foggy,n,TeRRoR,u
Last Refuge,Gonz,n,Ag3nt,h
Amazonia,Wiz,n,MisterWinner,h
Twisted Meadows,Hitman,o,Hunter,n
Concealed Hill,Sw1tch,o,Crazyromanian,u
Last Refuge,Eer0,u,Fly100%,o
Last Refuge,Sonik,n,CoopeR,o
Echo Isles,Michael,u,Tak3r,o
Amazonia,Happy,u,HawK,h
Last Refuge,Delta,n,W1gan,n
Last Refuge,Robinson,n,Hipposaur,h
Autumn Leaves,Hipposaur,h,GodFather,u
Amazonia,Sonik,n,Fish,h
Northern Isles,Ceron,n,Aeb,u
Echo Isles,KraV,u,ZeLL,h
Amazonia,WaN,u,CoopeR,o
Autumn Leaves,Deathnote,h,NovA (Iranian player),u
Last Refuge,Starshaped,n,Sonik,n
Turtle Rock,INSUPERABLE,u,Pride,o
Concealed Hill,ToM,o,PhiLbOiS,n
Concealed Hill,Happy,u,Dise,n
Amazonia,Please,n,BlaST9Z,n
Concealed Hill,Sheik,u,Neytpoh,n
Echo Isles,Chaemiko,h,Pink,u
Echo Isles,InsoliTe,u,SeTh,n
Amazonia,Daille,h,CorNoX,n
Concealed Hill,GodFather,u,X3-DemoN,h
Shattered Exile,Sonik,n,MisterWinner,h
Amazonia,Eer0,u,Chaemiko,h
Concealed Hill,Paladyn,n,Sixb0nes,h
Echo Isles,MisterWinner,h,SpiritLink,h
Terenas Stand LV,Eer0,u,FoCuS,o
Northern Isles,MisterWinner,h,Soulful,h
Northern Isles,Lin Guagua,o,Fortitude,h
Northern Isles,Chanji,o,T3hMastAh,h
Northern Isles,Sini,n,Decadent God,o
Northern Isles,ToM,o,Flopoks,u
Terenas Stand LV,Hitman,o,Ceron,u
Northern Isles,Edo,u,Kevin,n
Last Refuge,Dise,n,Theozii,o
Concealed Hill,Mango,u,Pcg 123,u
Echo Isles,WaN,u,Edo,u
Last Refuge,PalleS,h,Paxa,u
Northern Isles,CoopeR,o,Biko,u
Concealed Hill,LawLiet,n,FoCuS,o
Echo Isles,KraV,u,MisterWinner,h
Echo Isles,Hitman,o,Soin,o
Last Refuge,Sonik,n,Fowzark,n
Northern Isles,Michael,u,TeRRoR,u
Last Snow,Ser,u,Deathnote,h
