Map,Winner,Winner race,Loser,Loser race
Northern Isles,CrunCher,u,DirtBag,h
Amazonia,Happy,u,Hankk,o
Concealed Hill,Neytpoh,n,X3-DemoN,h
Last Refuge,TH000,h,Lin Guagua,o
Terenas Stand LV,Dise,n,Fish,h
Amazonia,Lin Guagua,o,Pink,u
Northern Isles,Sheik,u,Please,n
Northern Isles,Happy,u,Chiko,o
Last Refuge,KraV,u,Hipposaur,h
Northern Isles,Michael,u,XlorD,u
Terenas Stand LV,Ark,n,Hunter,n
Last Refuge,HawK,h,Imud,u
Last Refuge,Foggy,n,Happy,u
Last Refuge,Happy,u,Rici,o
Autumn Leaves,ArminvB,o,Ag3nt,h
Last Refuge,Fly100%,o,Michael,u
Amazonia,Happy,u,Sonik,n
Echo Isles,Cash,o,XlorD,u
Northern Isles,Happy,u,ArminvB,o
Last Refuge,XlorD,u,KraV,u
Northern Isles,Chaemiko,h,Fly100%,o
Last Refuge,AllTheSmoke,u,Pongo,n
Echo Isles,EnTe,u,Kevin,n
Last Refuge,Foggy,n,LongWalk,n
Last Refuge,Ag3nt,h,MisterWinner,h
Echo Isles,Infi,h,Moon,n
Amazonia,Ze1Ko,h,Powlok,h
Amazonia,MisterWinner,h,Hartman,h
Northern Isles,VortiX,u,XlorD,u
Tidehunters,Blade,h,MisterWinner,h
Turtle Rock,RaZZoRMaN,o,Sonik,n
Northern Isles,Spiral,h,Sonik,n
Last Snow,MisterWinner,h,PteN,o
Echo Isles,FoCuS,o,Sok,h
Amazonia,Sok,h,Colorful,n
Concealed Hill,Chaemiko,h,Colorful,n
Twisted Meadows,CoopeR,o,Sonik,n
Northern Isles,Michael,u,Yumiko,h
Turtle Rock,Dise,n,HoT,n
Amazonia,CoopeR,o,MisterWinner,h
Last Refuge,SDmK,u,Dise,n
Northern Isles,ArminvB,o,NickMoris,n
Northern Isles,CorNoX,n,Seal,o
Northern Isles,Passion,n,淹死的Fish,h
Amazonia,Dise,n,MisterWinner,h
Terenas Stand LV,Bido,h,Yange,n
Last Refuge,Edo,u,ToM,o
Echo Isles,FoCuS,o,Fortitude,h
Northern Isles,MisterWinner,h,FaiLo,o
Terenas Stand LV,Hitman,o,Hunter,n
Echo Isles,Colorful,n,Sok,h
Northern Isles,Cash,o,Mosura,u
Autumn Leaves,CorNoX,n,SeTh,n
Amazonia,Sonik,n,Cash,o
Echo Isles,Philiwarrior,o,Krawty,n
Last Refuge,Skutt,u,Valdis,h
Amazonia,Sonik,n,Please,n
Concealed Hill,Lin Guagua,o,Zhou Xixi,n
Amazonia,MisterWinner,h,Drashk,u
Zul'Alor,Cash,o,MisterWinner,h
Twisted Meadows,Happy,u,Sonik,n
Echo Isles,Philiwarrior,o,ToX,n
Echo Isles,15sui,h,Sini,n
Northern Isles,ThorZaIN,h,JohnnyCage,h
Northern Isles,Sheik,u,INSUPERABLE,u
Northern Isles,Sok,h,Eer0,u
Amazonia,Drunken,h,LongWalk,n
Autumn Leaves,Darkness,u,TekRicket,n
Northern Isles,Ser,u,Cement,u
Concealed Hill,Foggy,n,Happy,u
Amazonia,Sonik,n,HoT,n
Last Refuge,Foggy,n,Rennaissanse,n
Concealed Hill,Hitman,o,RavinDrannor,o
Last Refuge,ToM,o,BaSsLiNe,u
Echo Isles,Lyn,o,Fly100%,o
Northern Isles,Zhou Xixi,n,Sini,o
Amazonia,TGW,u,Hipposaur,h
Amazonia,HoT,n,Gondria,n
Last Refuge,Pokey,n,ReseT,n
Concealed Hill,Please,n,Sonik,n
Last Refuge,Edo,u,GARDENER,n
Echo Isles,XlorD,u,Franzyzz,o
Echo Isles,Foggy,n,KraV,u
Talonrift Coast,Happy,u,Sonik,n
Twisted Meadows,Paladyn,n,RaZZoRMaN,o
Concealed Hill,Edo,u,BlaST9Z,n
Echo Isles,Michael,u,Chaemiko,h
Last Refuge,Sonik,n,TGW,h
Amazonia,Rici,o,Inspired,h
Echo Isles,Helbisch,u,Tak3r,o
Echo Isles,Blade,h,WFZ,u
Northern Isles,ToM,o,BaSsLiNe,u
Terenas Stand LV,HawK,h,Blade,h
Concealed Hill,XeLSinG,o,Mosura,u
Terenas Stand LV,XiaoKai,o,Pink,u
Concealed Hill,Fish,h,Singroso,h
Terenas Stand LV,Sonik,n,Deathnote,h
Amazonia,ThorZaIN,h,SyDe,u
Last Refuge,EnTe,u,ToM,o
Terenas Stand LV,Duck,u,Rottereye,n
Northern Isles,Soin,o,Robinson,n
Echo Isles,SpoKi,n,JokeRn,n
Terenas Stand LV,TheFlash,u,Orbiti,h
Last Refuge,XlorD,u,EnTe,u
Northern Isles,ArminvB,o,Oxx,o
Amazonia,Heisman,h,PriesT,h
Amazonia,DesTr0,h,Ze1Ko,h
Echo Isles,Ark,n,Deuce,u
Last Refuge,HoT,n,CoopeR,o
Amazonia,ChriS,u,Turnaround,h
Northern Isles,InSaNe,u,CaHeK,u
Turtle Rock,Michael,u,Lin Guagua,o
Last Refuge,Michael,u,Deathnote,h
Concealed Hill,Schlautier,o,MrOleh,o
Last Refuge,Happy,u,Chiko,o
Twisted Meadows,Hunter,n,Duck,u
Concealed Hill,Fortitude,h,Foggy,n
Twisted Meadows,Neytpoh,n,Sonik,n
Amazonia,LawLiet,n,Michael,u
Concealed Hill,Foggy,n,P1nke,o
Echo Isles,Happy,u,HawK,h
Last Refuge,Please,n,ThundeR,h
Last Refuge,XlorD,u,EnTe,u
Concealed Hill,Infi,h,Moon,n
Concealed Hill,Happy,u,Sonik,n
Last Refuge,Sheik,u,Neytpoh,n
Northern Isles,HellRaiseR,u,FeeLx,h
Amazonia,HawK,h,Fish,h
Northern Isles,Scars,o,LICHTKOENIG,u
Echo Isles,Michael,u,Sheik,u
Northern Isles,Kocur86,u,GuvnoR,u
Amazonia,SDmK,u,Dise,n
Last Refuge,Sheik,u,Sonik,n
Turtle Rock,Fortitude,h,Foggy,n
Concealed Hill,Bike,h,ThundeR,h
Terenas Stand LV,FoCuS,o,Eer0,u
Autumn Leaves,Ag3nt,h,DeNNiS,u
Concealed Hill,P1nke,o,Dise,n
Last Refuge,Fly100%,o,Moon,n
Northern Isles,Philiwarrior,o,ToX,n
Last Refuge,Fortitude,h,Michael,u
Echo Isles,Michael,u,LawLiet,n
Last Refuge,Soin,o,Kaho,n
Echo Isles,Edo,u,ToM,o
Amazonia,Deuce,u,Pokey,n
Turtle Rock,SyDe,u,Dise,n
Concealed Hill,Happy,u,Foggy,n
Amazonia,Alexchen,n,Minigun,n
Northern Isles,INSUPERABLE,u,Inspired,h
Northern Isles,Happy,u,Edo,u
Northern Isles,Ice orc,o,9deathless,h
Concealed Hill,Happy,u,XlorD,u
Echo Isles,EnTe,u,ToD,h
Concealed Hill,Dise,n,Ze1Ko,h
Last Refuge,Deathnote,h,Edo,u
Northern Isles,Ceron,n,Ice,u
Echo Isles,KiWiKaKi,o,INSUPERABLE,u
Concealed Hill,ViOLet,o,Lnclnerator,o
Northern Isles,Michael,u,SushiLicious,u
Concealed Hill,LiiLD.C,n,Laxxen,h
Terenas Stand LV,LawLiet,n,Chaemiko,h
Concealed Hill,Starshaped,n,YoungUndead,u
Last Refuge,Neytpoh,n,Deathnote,h
Echo Isles,SeTh,n,Daille,h
Last Refuge,Dise,n,HoT,n
Concealed Hill,KraV,u,Ze1Ko,h
Amazonia,Wiz,n,Deathnote,h
Amazonia,HoT,n,Mix.6,n
Northern Isles,15sui,n,XiaoKK,o
Echo Isles,Starshaped,n,Fhra,o
Echo Isles,JokeRn,n,RaGsen,o
Last Refuge,Kaho,n,世界尽头,n
Last Refuge,Biko,u,ArminvB,o
Amazonia,ALe,n,Celebrate,o
Turtle Rock,SeTh,n,InsoliTe,u
Terenas Stand LV,Takulla,h,MoonAndino,n
Northern Isles,TGW,u,JadeDark,n
Last Snow,Sheik,u,Ossavi,h
Echo Isles,XiaoKai,o,Pink,u
Terenas Stand LV,MisterWinner,h,FaiLo,o
Northern Isles,Fly100%,o,Colorful,n
Concealed Hill,Dise,n,PteN,o
Last Refuge,Michael,u,Wiz,n
Amazonia,Spiral,n,WaN,u
Northern Isles,ArminvB,o,Darkness,u
Concealed Hill,Soin,o,Ice orc,o
Last Refuge,MisterWinner,h,Qeenon,u
Amazonia,HoT,n,Krasik,n
Amazonia,JohnnyCage,h,Neytpoh,n
Terenas Stand LV,Infi,h,Colorful,n
Turtle Rock,Sonik,n,Sheik,u
Last Refuge,Fortitude,h,Michael,u
Concealed Hill,Zhou Xixi,n,Yange,n
Last Refuge,EnTe,u,LongWalk,n
Echo Isles,Sonik,n,ThundeR,h
Echo Isles,EnTe,u,LongWalk,n
Last Refuge,LawLiet,n,Chaemiko,h
Twisted Meadows,Duck,u,INSUPERABLE,u
Echo Isles,Dise,n,Ze1Ko,h
Echo Isles,LawLiet,n,Michael,u
Concealed Hill,CoopeR,o,Foggy,n
Autumn Leaves,Ze1Ko,h,Wiz,o
Northern Isles,Eer0,u,FoCuS,o
Terenas Stand LV,Edo,u,Philiwarrior,o
Echo Isles,Chaemiko,h,Michael,u
Last Refuge,15sui,h,Sini,n
Last Refuge,Ag3nt,h,MisterWinner,h
Turtle Rock,Blade,h,Dise,n
Twisted Meadows,ToD,h,Sonik,n
Terenas Stand LV,HawK,h,Dise,n
Last Refuge,Hipposaur,h,Sonik,n
Last Refuge,ViOLet,o,SaysO,u
Concealed Hill,ToM,o,Mosura,u
Turtle Rock,Please,n,Sheik,u
Northern Isles,Mosura,u,MisterWinner,h
Amazonia,Edo,u,PSILoveYou,u
Amazonia,Sonik,n,Dise,n
Echo Isles,TimberOwls,h,Dt.father,o
Echo Isles,XiaoKai,o,Pcg 123,u
Concealed Hill,Happy,u,CoopeR,o
Concealed Hill,INSUPERABLE,o,Hankk,o
Amazonia,Tak3r,o,Edo,u
Last Refuge,FoCuS,o,Colorful,n
Amazonia,Neytpoh,n,MisterWinner,h
Amazonia,FoCuS,o,Rici,o
Northern Isles,Biko,u,Hipposaur,h
Northern Isles,Happy,u,XeLSinG,o
Twisted Meadows,GoStyle,o,Kocur86,u
Echo Isles,Foggy,n,Happy,u
Northern Isles,Fish,h,Flopoks,u
Last Refuge,XlorD,u,Michael,u
Amazonia,ALe,n,GhostDragon,h
Amazonia,Alexchen,n,Bardigan,u
Terenas Stand LV,Lin Guagua,o,Colorful,n
Amazonia,LiiLD.C,n,HawK,h
Amazonia,Fish,h,Biko,u
Amazonia,Nujabes,h,Rackanitsu,h
Amazonia,Sunny,h,Paxa,u
Last Refuge,Seal,o,W1gan,n
Echo Isles,Colorful,n,Yumiko,u
Last Refuge,BsK,u,Hipposaur,h
Northern Isles,Mosura,u,FpXy,n
Last Refuge,Colorful,n,LawLiet,n
Northern Isles,ZeLL,h,Nujabes,h
Concealed Hill,ToM,o,JokeRn,n
Echo Isles,Sheik,u,TGW,u
Last Refuge,Edo,u,JokeRn,n
Last Refuge,Duck,u,Deuce,u
Last Refuge,Infi,n,Fly100%,o
Last Refuge,EnTe,u,Neytpoh,n
Turtle Rock,Biko,u,ToM,o
Amazonia,Michael,u,ThundeR,h
Northern Isles,Moon,n,Fly100%,o
Echo Isles,ThundeR,h,Michael,u
Amazonia,LongWalk,n,EnTe,u
Twisted Meadows,FoCuS,o,Foggy,n
Northern Isles,Arma,o,Ag3nt,h
Amazonia,BATOu,h,Nujabes,h
Last Refuge,Lyn,o,Chaemiko,h
Echo Isles,Dise,n,Sheik,u
Northern Isles,Cement,u,X3-DemoN,h
Amazonia,EnTe,u,Sonik,n
Northern Isles,Fortitude,h,ThundeR,h
Amazonia,Ceron,n,HellRaiseR,u
Terenas Stand LV,JusTDoiTpLs,u,Krasik,n
Terenas Stand LV,Dise,n,Inspired,h
Amazonia,Sok,h,Lyn,o
Last Refuge,INSUPERABLE,u,TeRRoR,u
Last Refuge,XlorD,u,SyDe,u
Last Refuge,HartCrane,o,OOrs,n
Last Refuge,Happy,u,Sonik,n
Concealed Hill,Colorful,n,Pink,u
Concealed Hill,Philiwarrior,o,Franzyzz,o
Concealed Hill,Infi,h,LawLiet,n
Last Refuge,Paxa,u,IzcoN,o
Northern Isles,Ark,n,Deuce,u
Northern Isles,Changer,h,Darkness,u
Northern Isles,HawK,h,DowaQ,u
Last Refuge,HawK,h,Happy,u
Echo Isles,Happy,u,VortiX,u
Northern Isles,Infi,h,Soin,o
Echo Isles,ToM,o,Sw1tch,o
Concealed Hill,Fly100%,o,LawLiet,n
Amazonia,Nujabes,h,DrK,o
Amazonia,AllTheSmoke,u,Pongo,n
Northern Isles,Yumiko,u,Bug,o
Turtle Rock,Lnclnerator,o,CarsoNNN,o
Last Refuge,CoopeR,o,Sok,h
Talonrift Coast,Hankk,o,Lilyal,u
Amazonia,XeLSinG,o,FeeLx,h
Northern Isles,Hitman,o,INSUPERABLE,u
Terenas Stand LV,CrunCher,h,Ark,n
Echo Isles,KraV,u,Hipposaur,h
Concealed Hill,Ze1Ko,h,SeTh,n
Concealed Hill,FoCuS,o,LawLiet,n
Amazonia,Drunken,h,ChriS,u
Northern Isles,Cement,u,Lubber,u
Northern Isles,AllTheSmoke,u,GuvnoR,u
Concealed Hill,TiesioG,o,GARDENER,n
Last Refuge,WaN,u,ToD,h
Northern Isles,ToM,o,Ag3nt,h
Concealed Hill,Lubber,u,ToM,o
Last Refuge,Sonik,n,Kingsta,u
Echo Isles,Believe (Canadian player),n,PhiLbOiS,n
Tidehunters,KiWiKaKi,o,INSUPERABLE,u
Echo Isles,Edo,u,SpoKi,h
Northern Isles,Flopoks,u,ArminvB,o
Northern Isles,Sonik,n,Fish,h
Northern Isles,Hitman,o,Fish,h
Last Snow,Cash,o,HawK,h
Amazonia,CJIeMoBuK59,n,MoonChild,u
Northern Isles,RavinDrannor,o,BoO,u
Terenas Stand LV,ToD,h,LongWalk,n
Last Refuge,Gonz,n,Fog,n
Northern Isles,ToD,h,SaiDe,n
Northern Isles,Please,n,Cement,u
Turtle Rock,Cement,u,MisterWinner,h
Terenas Stand LV,Foggy,n,DBMMM,o
Last Refuge,Sauce (American player),u,TnT600X,o
Last Refuge,KraV,u,Sheik,u
Echo Isles,Divine,u,Etaphraven,o
Northern Isles,Music,o,Ember,u
Concealed Hill,Michael,u,TH000,n
Concealed Hill,Philiwarrior,o,Krawty,n
Concealed Hill,XeLSinG,o,FeeLx,h
Autumn Leaves,Skutt,u,KnOfF,o
Last Snow,Fish,h,NotFletch,TBD
Echo Isles,Deathnote,h,Neytpoh,n
Last Refuge,KiWiKaKi,o,Quberte,u
Northern Isles,15sui,n,Sini,o
Last Refuge,Happy,u,Neytpoh,n
Terenas Stand LV,Pcg 123,u,Eer0,u
Northern Isles,IDentify,o,Iblazatar,h
Northern Isles,Sok,h,Lin Guagua,o
Amazonia,Fish,h,RavinDrannor,o
Terenas Stand LV,SyDe,u,Blade,h
Last Refuge,Sonik,n,ThundeR,h
Amazonia,LawLiet,n,Michael,u
Echo Isles,CrunCher,h,Deuce,u
Last Refuge,MisterWinner,h,Yaremag,h
Northern Isles,Hipposaur,h,BsK,u
Amazonia,Sheik,u,Deathnote,h
Concealed Hill,Coremix,o,WoLv,n
Terenas Stand LV,FoCuS,o,Edo,u
Northern Isles,HawK,h,NickMoris,n
Terenas Stand LV,Moon,n,Colorful,n
Last Refuge,Sonik,n,PSILoveYou,u
Concealed Hill,WaN,u,SpoKi,o
Echo Isles,Powlok,h,HooDy,h
Northern Isles,WaN,u,Franzyzz,o
Twisted Meadows,Happy,u,Ghooozi,n
Last Snow,Cash,o,KraV,u
Concealed Hill,Chaemiko,h,Michael,u
Last Refuge,Deathnote,h,Sonik,n
Last Refuge,GodFather,u,Hipposaur,h
Northern Isles,ArminvB,o,Ower,u
Terenas Stand LV,Blade,h,Spiral,n
Last Refuge,Michael,u,Please,n
Northern Isles,Starshaped,n,Hankk,o
Northern Isles,Evocore,n,BATOu,h
Northern Isles,Loopin,u,Feredy,n
Last Refuge,PriesT,h,Rottereye,n
Northern Isles,Sonik,n,Flopoks,u
Concealed Hill,FoCuS,o,LawLiet,n
Concealed Hill,XeLSinG,o,Dise,n
Last Refuge,Michael,u,Sini,n
Last Refuge,Happy,u,Deathnote,h
Last Refuge,Colorful,n,Ice orc,o
Concealed Hill,Simba,h,Ag3nt,h
Northern Isles,Hitman,o,ViOLet,o
Concealed Hill,Hipposaur,h,Iblazatar,h
Echo Isles,MisterWinner,h,ToM,o
Terenas Stand LV,Fortitude,h,LawLiet,n
Echo Isles,Manusiku,u,Rackanitsu,h
Concealed Hill,Eer0,u,Pcg 123,u
Northern Isles,Duck,u,CrunCher,h
Terenas Stand,War3Orcer0,o,舜天战斗,n
Last Refuge,Hitman,o,Fish,h
Echo Isles,JohnnyCage,h,HawK,h
Amazonia,Maru,h,Dise,n
Amazonia,Chiko,o,Teddster,o
Advantage,Neytpoh,n,Dise,n
Amazonia,XeLSinG,o,AtheistP,h
Amazonia,Fish,h,Mosura,u
Concealed Hill,LawLiet,n,Michael,u
Northern Isles,MisterWinner,h,Bug,o
Echo Isles,LawLiet,n,Michael,u
Amazonia,Happy,u,Michael,u
Terenas Stand LV,Sheik,u,Deathnote,h
Terenas Stand LV,Manusiku,u,Rackanitsu,h
Northern Isles,Happy,u,Neytpoh,n
Last Refuge,SexySeaHorse,n,Celebrate,o
Echo Isles,ChriS,u,Turnaround,h
Concealed Hill,Happy,u,XeLSinG,o
Last Refuge,KiWiKaKi,o,RavinDrannor,o
Turtle Rock,Sonik,n,RaZZoRMaN,o
Terenas Stand LV,HawK,h,Foggy,n
Twisted Meadows,Colorful,n,Fortitude,h
Northern Isles,Sheik,u,Neytpoh,n
Turtle Rock,Happy,u,Sonik,n
Northern Isles,Happy,u,Ze1Ko,h
Echo Isles,SeTh,n,KraV,o
Concealed Hill,ViOLet,o,RavinDrannor,o
Amazonia,Dise,n,Flamy4,n
Talonrift Coast,Deathnote,h,Tenshi,h
Concealed Hill,Aeb,u,Fabrizzio,o
Concealed Hill,FoCuS,o,CoopeR,o
Concealed Hill,Lucker,o,HLRS,h
Northern Isles,VortiX,u,Happy,u
Concealed Hill,Foggy,n,KraV,u
Northern Isles,JokeRn,n,SpoKi,n
Northern Isles,MisterWinner,h,ToM,o
Last Refuge,Edo,u,Deathnote,h
Concealed Hill,,,,
Amazonia,Hunter,n,Alexchen,n
Amazonia,PalleS,h,Changer,h
Northern Isles,INSUPERABLE,u,Hailua,h
Echo Isles,Moon,n,LawLiet,n
Amazonia,Happy,u,HawK,h
Amazonia,Michael,u,15sui,n
Concealed Hill,Fish,h,Ceron,n
Terenas Stand LV,Colorful,n,Ice orc,o
Northern Isles,Daille,h,CorNoX,n
Concealed Hill,Gonz,n,Ag3nt,h
Northern Isles,Edo,u,Ladin,n
Amazonia,KraV,u,Seal,o
Last Refuge,VictorZorin,u,Orbiti,h
Northern Isles,Pcg 123,u,Mango,u
Amazonia,Happy,u,Dise,n
Last Refuge,Happy,u,Foggy,n
Last Refuge,Biko,u,Ag3nt,h
Concealed Hill,DirtBag,h,Hunter,n
Last Refuge,LawLiet,n,Chaemiko,h
Northern Isles,Fhra,o,Starshaped,n
Terenas Stand LV,HawK,h,Gonz,n
Amazonia,TeRRoR,u,PalleS,h
Terenas Stand LV,FoCuS,o,Eer0,u
Northern Isles,Happy,u,LeMei,n
Echo Isles,BsK,u,EdGE,u
Echo Isles,ToM,o,Flopoks,u
Last Refuge,HawK,h,Please,n
Concealed Hill,DirtBag,h,Ceron,n
Concealed Hill,Chaemiko,h,XiaoKai,u
Last Refuge,INSUPERABLE,u,Deuce,u
Amazonia,Happy,u,Michael,u
Northern Isles,Ze1Ko,h,Powlok,h
Turtle Rock,Yumiko,h,Bug,o
Last Refuge,Biko,u,Ag3nt,h
Terenas Stand LV,Aware,h,Rheagal,u
Northern Isles,HawK,h,ArminvB,o
Amazonia,JarAsH,o,Rackanitsu,h
Northern Isles,EnTe,u,JokeRn,n
Last Refuge,Sonik,n,LeMei,n
Last Refuge,Edo,u,MisterWinner,h
Last Refuge,,,,
Concealed Hill,Nujabes,h,Rackanitsu,h
Tidehunters,Cash,o,Fish,h
Northern Isles,Ze1Ko,h,Teddster,o
Concealed Hill,WaN,u,RaGsen,o
Concealed Hill,Arma,o,Cement,u
Concealed Hill,Moon,n,Sok,h
Last Refuge,Bizzare,o,Please,n
Amazonia,Powlok,h,Halay,u
Twisted Meadows,Happy,u,Xorc,n
Terenas Stand LV,Kevin,n,JokeRn,n
Northern Isles,KraV,u,Paladyn,n
Terenas Stand LV,LawLiet,n,15sui,h
Last Refuge,Eer0,u,Fortitude,h
Last Refuge,Fortitude,h,FoCuS,o
Echo Isles,Starshaped,n,Loiu,o
Northern Isles,Ser,u,Gonz,n
Echo Isles,KnOfF,o,Darkmove,o
Amazonia,Powlok,h,Rahvin,h
Northern Isles,,,,
Terenas Stand LV,Chiko,o,Mr.Maggot,u
Echo Isles,Kevin,n,Philiwarrior,o
Twisted Meadows,DeMiGoD,o,PhoeNix,n
Echo Isles,Lyn,o,Moon,n
Last Refuge,MisterWinner,h,Sonik,n
Terenas Stand LV,ToM,o,Kevin,n
Terenas Stand LV,ToM,o,Lubber,u
Amazonia,Deathnote,h,HoT,n
Amazonia,Colorful,n,Fortitude,h
Last Refuge,KraV,u,Neytpoh,n
Northern Isles,Dise,n,Sunny,h
Amazonia,Fortitude,h,Anxi,u
Turtle Rock,Foggy,n,Lin Guagua,o
Northern Isles,Sheik,u,Biko,u
Northern Isles,Neytpoh,n,Dise,n
Amazonia,SaiDe,n,PhoeNix,n
Concealed Hill,TeRRoR,u,Wiz,n
Northern Isles,HoT,n,Michael,u
Twisted Meadows,Foggy,n,Celebrate,o
Tidehunters,ToX,n,Jimpanse1,n
Last Refuge,Foggy,n,XlorD,u
Echo Isles,,,,
Last Refuge,Michael,u,Foggy,n
Last Refuge,Happy,u,VortiX,u
Twisted Meadows,Please,n,Deathnote,h
Echo Isles,Spiral,n,WaN,u
Last Refuge,Edo,u,ToM,o
Terenas Stand LV,Foggy,n,Blade,h
Northern Isles,Neytpoh,n,Dise,n
Turtle Rock,INSUPERABLE,u,Ark,n
Echo Isles,Michael,u,Edo,u
Last Refuge,Please,n,Dise,n
Echo Isles,Lyn,o,Colorful,n
Last Refuge,MisterWinner,h,Sixb0nes,h
Concealed Hill,LuTr,o,Tripode,u
Northern Isles,Sheik,u,MisterWinner,h
Turtle Rock,XiaoKai,o,Pcg 123,u
Tidehunters,Sheik,u,Cash,o
Amazonia,Blade,h,Foggy,n
Northern Isles,Yumiko,u,15sui,u
Twisted Meadows,Foggy,n,VortiX,u
Last Refuge,Fortitude,h,Lyn,o
Twisted Meadows,Ark,n,INSUPERABLE,u
Last Refuge,JohnnyCage,h,Biko,u
Concealed Hill,Lyn,o,Sok,h
Echo Isles,Philiwarrior,o,Drunken,h
Northern Isles,Michael,u,Chanji,o
Talonrift Coast,Hankk,o,Starshaped,n
Last Refuge,KraV,o,BlaST9Z,o
Concealed Hill,Sooo Unreal,h,Hankk,o
Northern Isles,Chaemiko,h,Sok,h
Last Snow,MisterWinner,h,LongWalk,n
Amazonia,Foggy,n,Deathnote,h
Echo Isles,XiaoKai,u,Sheik,u
Turtle Rock,FoCuS,o,Moon,n
Northern Isles,Bug,o,珊珊的猫,o
Concealed Hill,Chiko,o,Loiu,o
Northern Isles,FoCuS,o,XiaoKai,u
Last Refuge,Rennaissanse,n,Maax,n
Concealed Hill,Soin,o,Foggy,n
Turtle Rock,Mango,u,Zhou Xixi,n
Turtle Rock,HoT,n,Furyan,o
Twisted Meadows,JohnnyCage,h,Biko,u
Concealed Hill,Pcg 123,u,Colorful,n
Concealed Hill,Michael,u,Iva,h
Northern Isles,Tak3r,o,Helbisch,u
Last Refuge,Michael,u,Ze1Ko,h
Concealed Hill,Chaemiko,h,LawLiet,n
Echo Isles,Alice,n,Anxi,u
Amazonia,Moon,n,Foggy,n
Concealed Hill,Ze1Ko,h,BATOu,h
Echo Isles,Ze1Ko,h,InsoliTe,u
Terenas Stand LV,FoCuS,o,TeRRoR,u
Last Refuge,MisterWinner,h,SpiritLink,h
Last Refuge,MisterWinner,h,ManicTwig,o
Last Refuge,HawK,h,Deathnote,h
Concealed Hill,Foggy,n,Happy,u
Northern Isles,TGW,u,WaN,u
Amazonia,JohnnyCage,h,Foggy,n
Terenas Stand LV,Hitman,o,Aeb,u
Last Refuge,OCRaM,h,Red7z7,u
Twisted Meadows,Lyn,o,FoCuS,o
Concealed Hill,Please,n,Ag3nt,h
Echo Isles,Lyn,o,Sok,h
Last Refuge,ToM,o,Lubber,u
Northern Isles,Sunny,h,BaSsLiNe,u
Northern Isles,Rav3n,u,YggaM,h
Echo Isles,Infi,o,Eer0,u
Amazonia,Moon,n,Foggy,n
Last Refuge,Please,n,ThundeR,h
Amazonia,Neytpoh,n,EnTe,u
Last Refuge,Edo,u,Kevin,n
Echo Isles,KraV,u,SyDe,u
Northern Isles,Edo,u,SpoKi,h
Last Refuge,Dise,n,Please,n
Northern Isles,Hitman,o,FoCuS,o
Last Refuge,Ice orc,o,GoaL,u
Northern Isles,KiWiKaKi,o,KraV,u
Last Refuge,Happy,u,Please,n
Northern Isles,Michael,u,Edo,u
Amazonia,Sheik,u,Lilyal,u
Terenas Stand LV,Sini,n,Michael,u
Concealed Hill,LawLiet,n,Infi,h
Northern Isles,Sheik,u,Dise,n
Terenas Stand LV,VortiX,u,Foggy,n
Northern Isles,FoCuS,o,Deathnote,h
Amazonia,Edo,u,Shocky,u
Amazonia,IDentify,o,Iblazatar,h
Concealed Hill,Sunny,h,Orbiti,h
Echo Isles,Ice orc,o,Lin Guagua,o
Turtle Rock,FoCuS,o,KraV,u
Last Refuge,Moon,n,Lin Guagua,o
Last Refuge,Deathnote,h,MisterWinner,h
Turtle Rock,Neytpoh,n,Sonik,n
Terenas Stand LV,Dise,n,HawK,h
Terenas Stand LV,EnTe,u,ToM,o
Terenas Stand LV,Edo,u,ToM,o
Northern Isles,Happy,u,ThundeR,h
Echo Isles,LiiLD.C,n,OrcWorker,o
Northern Isles,KraV,u,JohnnyCage,h
Echo Isles,Gonz,n,ArminvB,o
Concealed Hill,Hitman,o,FoCuS,o
Amazonia,Foggy,n,Sonik,n
Echo Isles,CrunCher,h,Ark,n
Last Refuge,Deathnote,h,Nightmare2077,o
Terenas Stand LV,Infi,h,LawLiet,n
Last Refuge,Ark,n,RavinDrannor,o
Last Refuge,Edo,u,EnTe,u
Northern Isles,Soin,o,Chaemiko,h
Northern Isles,Happy,u,Temskiy,o
Autumn Leaves,Arma,o,Cement,u
Amazonia,Evocore,h,Totoro,n
Echo Isles,Sok,h,Michael,u
Northern Isles,HoT,n,FeeLx,h
Last Refuge,FoCuS,o,LawLiet,n
Amazonia,Foggy,n,Sonik,n
Turtle Rock,LawLiet,n,INSUPERABLE,u
Echo Isles,TGW,u,Sheik,u
Amazonia,Michael,u,XiaoKai,o
Concealed Hill,ToM,o,AtheistP,h
Amazonia,Sheik,u,X3-DemoN,h
Northern Isles,Lubber,u,KurCo,u
Amazonia,Michael,u,Fortitude,h
Last Refuge,Happy,u,XlorD,u
Twisted Meadows,Happy,u,Sonik,n
Terenas Stand LV,Nujabes,h,Totoro,n
Northern Isles,Hitman,o,INSUPERABLE,u
Twisted Meadows,Sonik,n,Celebrate,o
Amazonia,MisterWinner,h,TimberOwls,h
Echo Isles,Happy,u,Deathnote,h
Northern Isles,ToM,o,MisterWinner,h
Last Refuge,EnTe,u,Fish,h
Last Refuge,ToM,o,Biko,u
Concealed Hill,Sheik,u,Dise,n
Amazonia,HoT,n,Dise,n
Northern Isles,TGW,u,MetalBro,h
Concealed Hill,TGW,o,Neytpoh,n
Concealed Hill,Inspired,h,Mosura,u
Concealed Hill,Philiwarrior,o,ChriS,u
