Date,Match name,Map,Winner,Winner race,Loser,Loser race
2020-10-24,W3Champions Finals/Season 3/Europe#ID4_XlorD_vs_CoopeR_on_Concealed_Hill_in_Quarterfinal_Map_1,Concealed Hill,CoopeR,o,XlorD,u
2020-10-24,W3Champions Finals/Season 3/Europe#ID4_XlorD_vs_CoopeR_on_Last_Refuge_in_Quarterfinal_Map_2,Last Refuge,XlorD,u,CoopeR,o
2020-10-24,W3Champions Finals/Season 3/Europe#ID4_XlorD_vs_CoopeR_on_Turtle_Rock_in_Quarterfinal_Map_3,Turtle Rock,XlorD,u,CoopeR,o
2020-10-24,W3Champions Finals/Season 3/Europe#ID5_LiiLD.C_vs_HawK_on_Amazonia_in_Semifinals_Map_2,Amazonia,LiiLD.C,n,HawK,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID5_LiiLD.C_vs_HawK_on_Concealed_Hill_in_Semifinals_Map_3,Concealed Hill,LiiLD.C,n,HawK,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID5_LiiLD.C_vs_HawK_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,HawK,h,LiiLD.C,n
2020-10-24,W3Champions Finals/Season 3/Europe#ID6_Happy_vs_XlorD_on_Last_Refuge_in_Semifinals_Map_1,Last Refuge,Happy,u,XlorD,u
2020-10-24,W3Champions Finals/Season 3/Europe#ID6_Happy_vs_XlorD_on_Turtle_Rock_in_Semifinals_Map_2,Turtle Rock,Happy,u,XlorD,u
2020-10-24,W3Champions Finals/Season 3/Europe#ID8_ToD_vs_Please_on_Northern_Isles_in_Losers'_Round_1_Map_3,Northern Isles,ToD,h,Please,n
2020-10-24,W3Champions Finals/Season 3/Europe#ID8_ToD_vs_Please_on_Terenas_Stand_LV_in_Losers'_Round_1_Map_1,Terenas Stand LV,ToD,h,Please,n
2020-10-24,W3Champions Finals/Season 3/Europe#ID8_ToD_vs_Please_on_Turtle_Rock_in_Losers'_Round_1_Map_2,Turtle Rock,Please,n,ToD,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID9_WaN_vs_CoopeR_on_Terenas_Stand_LV_in_Losers'_Round_1_Map_1,Terenas Stand LV,WaN,u,CoopeR,o
2020-10-24,W3Champions Finals/Season 3/Europe#ID9_WaN_vs_CoopeR_on_Turtle_Rock_in_Losers'_Round_1_Map_2,Turtle Rock,WaN,u,CoopeR,o
2020-10-24,Washed Up League/Season 3/Division 1#ID7_Pride_vs_iNSUPERABLE_on_Echo_Isles_in_Regular_season_Week_2_Map_2,Echo Isles,INSUPERABLE,u,Pride,o
2020-10-24,Washed Up League/Season 3/Division 1#ID7_Pride_vs_iNSUPERABLE_on_Turtle_Rock_in_Regular_season_Week_2_Map_1,Turtle Rock,INSUPERABLE,u,Pride,o
2020-10-24,Washed Up League/Season 3/Division 2#ID35_Heisman_vs_PriesT_on_Amazonia_in_Group_B_Week_2_Map_2,Amazonia,Heisman,h,PriesT,h
2020-10-24,Washed Up League/Season 3/Division 2#ID35_Heisman_vs_PriesT_on_Concealed_Hill_in_Group_B_Week_2_Map_1,Concealed Hill,Heisman,h,PriesT,h
2020-10-25,W3Champions Finals/Season 3/Americas#ID12_Ark_vs_CrunCher_on_Concealed_Hill_in_Losers'_Round_3_Map_3,Concealed Hill,CrunCher,h,Ark,n
2020-10-25,W3Champions Finals/Season 3/Americas#ID12_Ark_vs_CrunCher_on_Echo_Isles_in_Losers'_Round_3_Map_1,Echo Isles,Ark,n,CrunCher,h
2020-10-25,W3Champions Finals/Season 3/Americas#ID12_Ark_vs_CrunCher_on_Terenas_Stand_LV_in_Losers'_Round_3_Map_2,Terenas Stand LV,CrunCher,h,Ark,n
2020-10-25,W3Champions Finals/Season 3/Americas#ID13_Deuce_vs_CrunCher_on_Echo_Isles_in_Losers'_Finals_Map_2,Echo Isles,CrunCher,h,Deuce,u
2020-10-25,W3Champions Finals/Season 3/Americas#ID13_Deuce_vs_CrunCher_on_Northern_Isles_in_Losers'_Finals_Map_3,Northern Isles,Deuce,u,CrunCher,h
2020-10-25,W3Champions Finals/Season 3/Americas#ID13_Deuce_vs_CrunCher_on_Terenas_Stand_LV_in_Losers'_Finals_Map_1,Terenas Stand LV,Deuce,u,CrunCher,h
2020-10-25,W3Champions Finals/Season 3/Americas#ID14_iNSUPERABLE_vs_Deuce_on_Amazonia_in_Grand_Finals_Map_2,Amazonia,Deuce,u,INSUPERABLE,u
2020-10-25,W3Champions Finals/Season 3/Americas#ID14_iNSUPERABLE_vs_Deuce_on_Echo_Isles_in_Grand_Finals_Map_3,Echo Isles,INSUPERABLE,u,Deuce,u
2020-10-25,W3Champions Finals/Season 3/Americas#ID14_iNSUPERABLE_vs_Deuce_on_Last_Refuge_in_Grand_Finals_Map_1,Last Refuge,Deuce,u,INSUPERABLE,u
2020-10-25,W3Champions Finals/Season 3/Americas#ID14_iNSUPERABLE_vs_Deuce_on_Northern_Isles_in_Grand_Finals_Map_4,Northern Isles,Deuce,u,INSUPERABLE,u
2020-10-25,W3Champions Finals/Season 3/Americas#ID7_iNSUPERABLE_vs_Deuce_on_Last_Refuge_in_Winners'_Finals_Map_1,Last Refuge,INSUPERABLE,u,Deuce,u
2020-10-25,W3Champions Finals/Season 3/Americas#ID7_iNSUPERABLE_vs_Deuce_on_Northern_Isles_in_Winners'_Finals_Map_2,Northern Isles,INSUPERABLE,u,Deuce,u
2020-10-25,W3Champions Finals/Season 3/Europe#ID12_XlorD_vs_HawK_on_Last_Refuge_in_Losers'_Round_3_Map_1,Last Refuge,HawK,h,XlorD,u
2020-10-25,W3Champions Finals/Season 3/Europe#ID12_XlorD_vs_HawK_on_Northern_Isles_in_Losers'_Round_3_Map_2,Northern Isles,HawK,h,XlorD,u
2020-10-25,W3Champions Finals/Season 3/Europe#ID13_LiiLD.C_vs_HawK_on_Echo_Isles_in_Losers'_Finals_Map_2,Echo Isles,HawK,h,LiiLD.C,n
2020-10-25,W3Champions Finals/Season 3/Europe#ID13_LiiLD.C_vs_HawK_on_Northern_Isles_in_Losers'_Finals_Map_1,Northern Isles,HawK,h,LiiLD.C,n
2020-10-25,W3Champions Finals/Season 3/Europe#ID14_Happy_vs_HawK_on_Amazonia_in_Grand_Finals_Map_2,Amazonia,Happy,u,HawK,h
2020-10-25,W3Champions Finals/Season 3/Europe#ID14_Happy_vs_HawK_on_Last_Refuge_in_Grand_Finals_Map_1,Last Refuge,Happy,u,HawK,h
2020-10-25,W3Champions Finals/Season 3/Europe#ID14_Happy_vs_HawK_on_Northern_Isles_in_Grand_Finals_Map_3,Northern Isles,Happy,u,HawK,h
2020-10-25,W3Champions Finals/Season 3/Europe#ID7_LiiLD.C_vs_Happy_on_Last_Refuge_in_Winners'_Finals_Map_1,Last Refuge,Happy,u,LiiLD.C,n
2020-10-25,W3Champions Finals/Season 3/Europe#ID7_LiiLD.C_vs_Happy_on_Northern_Isles_in_Winners'_Finals_Map_2,Northern Isles,Happy,u,LiiLD.C,n
2020-10-25,Washed Up League/Season 3/Division 1#ID11_Soulglider_vs_Ark_on_Concealed_Hill_in_Regular_season_Week_3_Map_1,Concealed Hill,Ark,n,Soulglider,h
2020-10-25,Washed Up League/Season 3/Division 1#ID11_Soulglider_vs_Ark_on_Terenas_Stand_LV_in_Regular_season_Week_3_Map_2,Terenas Stand LV,Ark,n,Soulglider,h
2020-10-25,Washed Up League/Season 3/Division 2#ID5_Quberte_vs_Rheagal_on_Concealed_Hill_in_Regular_season_Week_2_Map_2,Concealed Hill,Quberte,u,Rheagal,u
2020-10-25,Washed Up League/Season 3/Division 2#ID5_Quberte_vs_Rheagal_on_Northern_Isles_in_Regular_season_Week_2_Map_1,Northern Isles,Quberte,u,Rheagal,u
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID10_KraV_vs_TGW_on_Shattered_Exile_in_Semifinals_Map_3,Shattered Exile,TGW,u,KraV,u
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID10_KraV_vs_TGW_on_Talonrift_Coast_in_Semifinals_Map_2,Talonrift Coast,TGW,u,KraV,u
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID10_KraV_vs_TGW_on_Tortoise_Haven_in_Semifinals_Map_1,Tidehunters,KraV,u,TGW,u
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID11_Neytpoh_vs_MisterWinner_on_Shattered_Exile_in_Semifinals_Map_2,Shattered Exile,Neytpoh,n,MisterWinner,h
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID11_Neytpoh_vs_MisterWinner_on_Talonrift_Coast_in_Semifinals_Map_3,Talonrift Coast,Neytpoh,n,MisterWinner,h
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID11_Neytpoh_vs_MisterWinner_on_Tortoise_Haven_in_Semifinals_Map_1,Tidehunters,MisterWinner,h,Neytpoh,n
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID12_TGW_vs_Neytpoh_on_Talonrift_Coast_in_Finals_Map_2,Talonrift Coast,Neytpoh,n,TGW,u
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID12_TGW_vs_Neytpoh_on_Tortoise_Haven_in_Finals_Map_1,Tidehunters,Neytpoh,n,TGW,u
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID1_zpanzzzzz_vs_Mafe_on_Tortoise_Haven_in_Round_of_16_Map_1,Tidehunters,Zpanzzzzz,n,Mafe,h
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID3_ToX_vs_Jimpanse1_on_Tortoise_Haven_in_Round_of_16_Map_1,Tidehunters,ToX,n,Jimpanse1,n
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID4_x3-DemoN_vs_Petr22483_on_Tortoise_Haven_in_Round_of_16_Map_1,Tidehunters,X3-DemoN,h,Petr22483,n
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID5_MisterWinner_vs_Hastur_on_Tortoise_Haven_in_Round_of_16_Map_1,Tidehunters,MisterWinner,h,Hastur,n
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID7_TGW_vs_ToX_on_Tortoise_Haven_in_Quarterfinals_Map_1,Tidehunters,TGW,u,ToX,h
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID8_Neytpoh_vs_x3-DemoN_on_Shattered_Exile_in_Quarterfinals_Map_2,Shattered Exile,Neytpoh,n,X3-DemoN,h
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID8_Neytpoh_vs_x3-DemoN_on_Tortoise_Haven_in_Quarterfinals_Map_1,Tidehunters,Neytpoh,n,X3-DemoN,h
2020-10-26,Hive Workshop Cup/2/Open Qualifier 1#ID9_Sonik_vs_MisterWinner_on_Shattered_Exile_in_Quarterfinals_Map_3,Shattered Exile,MisterWinner,h,Sonik,n
